Combined Text,Sentiment,label
"no repeatation of songs used to open spotify while working every single day.now they will not even let me repeat songs properly ,so iam now using split screen and listening songs from youtube at this point spotify feels completely useless to me",Negative,0
drivers were punctual and friendly. drivers were punctual and friendly.,Positive,2
"why are netflix movies starting to look like student projects? i have been a netflix subscriber for years, paying for the premium plan, but the quality of many new movies has dropped dramatically. some of the recent releases look more like student projects or even something filmed on a phone. the acting is extremely poor, and the production quality is nowhere near what you d expect from a major streaming company. what s even more frustrating is that netflix promotes these titles on the front page as 1 or top picks, which is misleading. recently i watched paradise murders , and within the first 10 minutes i realized it looked like a student film not a professional production. it ended up being a complete waste of time. if netflix expects customers to keep paying premium monthly prices, it needs to deliver premium quality content. right now, too many of these movies do not even meet basic standards for a paying audience.",Negative,0
absolutely disgraceful customer service absolutely disgraceful customer service cannot seem to understand what i am tling them!!!!,Negative,0
i cancelled the first month and they i cancelled the first month and they billed me again worthless company,Negative,0
very efficient and effective hey there that is what we like to hear! making your money move quickly and smoothly is what we are all about thanks a lot for taking the time to share the love. wise,Positive,2
the do the do the do the do the do the the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do the do,Negative,0
"temu temu, if i could give you i would, you website sells literally everything, temu u think of everything amazingly your quality of products are perfecto,your prices are very reasonable , you make it affordable for people you even accept klarna clearpay how brilliant temu your delivery's, are promp prompt, thankyou temu store staff",Positive,2
"excellent experiences with temu. thoroughly recommended excellent experiences with temu over the past 12 months. multiple clothing purchases and 100 satisfaction rate for ease of ordering, updates on delivery and the whole shopping experience. thoroughly recommended",Positive,2
two hours for delivery ordered at 6 pm and did not get my food until almost 8. the driver did not communicate at all. everything was lukewarm and they forgot my drink.,Negative,0
"uber gives you no clear option for uber gives you no clear option for seeking customer support as a user. with very limited avenues of approach for seeking customer support, if you do happen to get into a chat log with them they close your chat as soon as they think they ve resolved your case without asking if you have additional concerns or questions which in turn forces you to seek options for support again. terrible customer support experience, it s intentionally difficult to contact.",Negative,0
"if i could give 0 stars if i could give 0 stars, i would. every time there s a problem, getting a response is nearly impossible. extremely frustrating and unacceptable. i had a terrible experience with booking.com three years ago and stopped using them. this year, i accidentally booked through them again and was quickly reminded why i stopped. never again.",Negative,0
"avoid using booking.com at all costs booking made via booking.com for third party hotel, payment taken from credit card without authorisation by booking.com, timing of this not stipulated in booking email confirmation, contacted customer services via on line chat, phone, email, contacts engellyn, rob and johnabel all either disconnected me or were unresponsive to chats, subsequently contacted their ceo. maybe he will respond but i doubt it!. shocking customer service.",Negative,0
"used to think this was a brilliant app used to think this was a brilliant app and a real boon to a music loving pensioner until i was kicked off from my son's family account as we no longer live in the same house. why call it family, surely household if you cannot support your own parents in their later years! with 2 kids under 4 unlikely to use, surely due a refund? shame on you, spotify blatant profiteering and i suggest lacking the principles of its foundation. chasing the dollar. what a world we are turning into...",Negative,0
died of boredom trying to find anything died of boredom trying to find anything other than people talking to each other in three body problem . netflix. take a 90 minute story and try and stretch it to 9 hours. yawn. too boring. make movies not series where nothing happens for hours and hours and hours and hours and hou......,Negative,0
"total waste of time total waste of time, continued possible prices to which noone arrives",Negative,0
"outstanding customer service i had a wonderful experience with canva support. a huge thank you to ivy mary mae and grace marie for their kindness, patience, and professionalism. they took the time to carefully review my case and account activity, and they were able to resolve my concern by processing a full refund. i truly appreciate their understanding and excellent customer service. thank you, canva, for having such an amazing support team!",Positive,2
quick and easy money transfer! hey lotte. speed and simplicity at your fingertips! thanks for choosing wise wise,Positive,2
constant buffering and ads every 10 constant buffering and ads every 10 minutes. ridiculous!!!,Negative,0
"destination reliability slim drive concern is not about the passenger! they ll leave you where stranded no matter your protest or fear! i am posting this review to warn others about uber s complete disregard for passenger safety and their refusal to take responsibility when a driver abandons a rider. on august 5, 2026, my uber driver dropped me off at an incorrect address at a stranger's house instead of my requested destination, stating she needed to leave to pick up her own daughter. despite my physical disability ankle hardware and severe distress, i was left stranded on foot in an unfamiliar neighborhood early in the morning. rather than addressing this critical breach of safety, uber s support system has repeatedly sent canned, automated denials. they have refused to issue a full refund back to my original payment method for an incomplete trip which total included a pre-selected 30 tip and instead attempted to dismiss the situation by offering useless internal app credits 5 and 30 uber cash . drivers who abandon passengers at unconfirmed locations should not retain fares or tips, and customer support should not rely on automated scripts to dismiss serious safety violations. i will never use uber's services again, and i strongly caution anyone especially individuals with physical limitations or safety concerns against relying on this platform.",Negative,0
"i love using uber i love using uber! while not every single driver is flawless, the vast majority of them go completely above and beyond to provide an amazing experience. they keep their cars clean, drive safely, and are incredibly polite. i happily give 5 stars to the drivers who work hard to get me to my destination safely.",Positive,2
"the app remains my go-to player for daily listening the app remains my go-to player for daily listening. i really liked the new import your music from other apps banner in the library finally, you can move old tracks without clunky third-party websites. the recommendations on the home page are also quite good, and the editor's 20th-anniversary picks are nicely designed. on the downside, the playlist creation interface got a bit confusing. it took me a couple of minutes to figure out where the regular playlist option was versus collaborative or blend because the new bottom menu layout feels less intuitive. still, for sound quality and syncing, it is a solid four stars.",Positive,2
"blocking account for accessing your country's content so i am a spaniard living in uk, i want to watch movies from my country that i found i could not access from uk, having unsuccessfully used a vpn, netflix has completely blocked me, not even able to access uk content, i cannot watch anything despite of having paid, netflix did not advise of this kind of blocking accounts. good for them, another customer lost i have unsubscribed and never will get back. i hope netflix goes broke due to their senseless geographic restrictions.",Negative,0
"free version is basically useless the free version is the worst music app i have encountered so far. after 15-20 minutes ish , you can no longer choose your own songs. spotify chooses what you should listen to. that is including the many advertisements in that time frame. almost more commercials than music in that tiny time frame.",Negative,0
"very disappointed very disappointed. first, the system showed 4.95 price, then it increased to 6.98 and the driver was not comming, the system showed he is 2.6 km away and will be after 11min, it lasted for a while. but it seems he came and did not gave any signal to me and after my trip uber tried to charge even more for his 2 minutes of waiting. it is so raw badness",Negative,0
"excellent customer service! my print arrived damaged. customer support immediately processed a new print and provided a delivery date. the date was too close to the wedding that the print was for so i asked for faster delivery. again, customer support immediately stopped the processing and created a new order with expedited shipping. i received the new print in perfect condition and with plenty of time to spare. i couldn t be happier!",Positive,2
terrible cancellation procedure and the terrible cancellation procedure and the free option plays the same few songs on my 400 liked songs,Negative,0
"dirty, nasty, scam site this is a dirty, nasty scam site. rooms are clearly listed at a particular price. when you go to checkout, it will still clearly be that price. the booking.com ui ux team have made it look like the price you will pay. but in the small print, will be the actual price. my room was almost double the price i thought i would pay and i did not know until i actually paid. then to cancel would cost almost the full price. then the customer service live chatters have been trained to communicate with you very slowly, hoping that you give up. this is complete and utter deception. you were able to scam me this once and get away with it, but now i will never go near your site ever again. it is just such a dumb way to conduct business",Negative,0
im not sure what has changed lately im not sure what has changed lately with this company. they cancelled my booking as they tried to take the full amount but i was paying on arrival. rang the hotel directly and they were so pleasant to deal with. could not get in contact with booking.com. not sure i would book with booking.com again,Negative,0
cancelled my subscription in april cancelled my subscription in april. randomly got a subscription charge 2 months later july 1. contacted support two different agents told me two different stories never got a refund. if you cancel your subscription make sure you delete your card. sketchy ass people,Negative,0
"used to think this was a brilliant app and a real boon to a music loving pensioner until i was kicked off from my son's family account as we no longer live in the same house. why call it family, surel... see more",Negative,0
i ordered a ride from one hotel to i ordered a ride from one hotel to another. while trying to sort out my luggage? in paris.the driver went away with my electronic charger. i complained and he denied seeing it in he is vehicle.,Neutral,1
"excellent customer support the canva team was patient, professional, and incredibly helpful throughout my account recovery process. even though my case was complicated, they guided me every step of the way until i successfully regained ownership of my account. special thanks to everyone who assisted me. i truly appreciate your dedication and excellent service. thank you, canva!",Positive,2
"false advertising the picture showed actual jewels rhinestones on the blue jean shirt. when i received the shirt, the jewels were actually printed on the fabric. never again!!",Negative,0
"thieves after cancelling my subscription last month, as ad supported versions are not supported in my area, and i am unwilling to pay the latest price hike, they charged me again today for the next month. this is outright theft. i cannot watch your lousy service and you still take money from my account. seems i am not alone. shitty business model.",Negative,0
"i have had 2 issues with dd in less i have had 2 issues with dd in less than 24 hours. i don t drive so i use it sometimes but no more. i just got an order where an item was missing. mcdonald s had 2 10-piece chicken nuggets for one. one 10-piece was missing. doordash would do nothing to help me. that s pretty petty. i ve had issues before and i would estimate they help less than half the time. for what i was paying a month in addition to how expensive everything is i am done. once again, it s not about customer service it s about taking your money.",Negative,0
"do not use do not use! we put in the date only to discover when we arrived, it was two months later. no ability to cancel, had to pay for what room was available. impossible to actually find a way to speak to a person, took 10 minutes just to find a request button for the cancelation which they say is non-refundable. hotels do not like working with them. first and last time ever using them.",Negative,0
"uber needs a rider phone line uber really needs a dedicated phone number for issues with drivers! each time that i have had a complaint about a driver or their vehicle, it takes something just short of an act of congress to reach them, which is via options on their app. unfortunately, the option list is very limited if you tell their chat-bot you want to speak with a live agent, sometimes it takes a few hours, which is beyond ridiculous! also, once an agent connects with you, instead of that person handling your issue, 2 or 3 different agents join in, by sending additional emails chats, then asking the same questions over over! considering, that they are platform is making money hand over fist , they can definitely afford a rider phone line!",Neutral,1
cancelled order doordash charged afterward on account ask to cancel transaction on account for order was cancelled instead they put a credit on doordash account i didn t ask for on message to... see more,Negative,0
great services great services. all is very easy and intuitive. well done ! keep up the food work.,Positive,2
i ve had very good experiences with all i ve had very good experiences with all my transactions so far. processing has always worked straight away or within a very short time. you are kept fully informed of every development. customer service responds promptly.,Positive,2
"two years ago two years ago, this was the best movie and tv show service. now the prices have gone up, the shows are uninteresting, there are few movies, and they are charging money for no apparent reason.",Neutral,1
"this company sucks this company sucks ! now why would you give the old customers commercials and also raise your price like you made anything better, its the same sh t all year long! you cannot even enjoy a movie now without dam interrupting it",Negative,0
"the best of all hey there, we are thrilled to know we are hitting the mark as the best option for your money moves! thanks for sharing the love wise",Positive,2
"super fast transactions eith low fees hey jurgen, delighted to keep your transfers moving at top speed for low cost wise",Positive,2
the drive so far are great and on-time the drive so far are great and on-time service also feel safe and secure.,Positive,2
"angel was literal. angel was quick to respond, careful with his words, and guided every step to recover my canva with a different email.",Positive,2
"best exchange rates best exchange rates, fast transfers, reliable service",Positive,2
on time is bull crap i just want to say i don t know how you can say it s on time when you keep updating the the delivery time mine was supposed to be by 10 34 and didn t get it until 10 51 and still said it was on time so your time tracker is not showing correct time and therefore causing peoples food to be delivered cold and i m sure that allows you to claim it was delivered on time,Negative,0
canva is amazing! i love seeing all the amazing templates! and canva is like the best thing since pizza ! if you are looking for anything to make it even more awesome then...mabey adding a 3d template where i can see every graphic i put down in 3d. but still in my eyes nothing beats canva. please note that that was a high comparison since pizza is awesome.,Positive,2
"all the people that were attended to my all the people that were attended to my case, so professional and helpful! thanks so much",Positive,2
do not buy if you need it urgently if you need something fast watch what you are buying i ordered a garden hose on 31st july and i have discovered it will not arrive until 10th september yet there was no mention of this excessive delivery time at the time of purchase,Negative,0
horrible and rude with no clear horrible and rude! does not speak or understand proper english! uber eats is much much better,Negative,0
rerun central nothing new here rerun central nothing new here same shit different day,Negative,0
taxi didn t bother to turn up. booked an uber for pick up at 10.15pm. had a confirmation email it was all booked and the name of the driver. at 10.05pm had a notification to say we had completed our trip even though we d not even seen the taxi and it was before our collection time. i contacted uber via the chat no obvious category for taxi not turning up but managed to get through to someone and they said they had refunded me straight away but said i had to rebook. this cost 4 more and meant we were waiting ages. when i complained they weren t interested. then the next day i have 3 different pending transactions for uber when i should only have 1. so now i ve got to contact them again. very poor service.,Negative,0
the workers were very nice although i am the workers were very nice although i am still having the same problem after it is been fixed,Positive,2
"their rewards system is completely misleading their rewards system is completely misleading. they offer free cash gifts worth hundreds which turn out to be coupons worth 5-10 for nil purchases and higher value coupons of 20-35 only redeemable after you spend over 70 or more. ignore the offers, they are discounts on cheap products initially overpriced. tools are or quality rubbish in many cases, like the dash cams. let the buyer beware. i have tried them a few times with more disappointment than joy. spend extra an get quality from reputable vendors.",Negative,0
"terrible customer service from terrible customer service from booking.com in a crisis situation. we were travelling from the netherlands to tignale with three children. on the day of our arrival, there was a serious wildfire in the area and the situation became unsafe enough that we had to change our plans. booking.com basically left us to deal with everything ourselves. i had to find another hotel on my own, arrange everything at the last minute, and worst of all, pay for a second hotel out of my own pocket. we will only receive the refund for the original reservation after our holiday, which means that because of a situation completely beyond our control, we had to finance two hotels at the same time. this was not a last-minute change of mind or a matter of personal preference. there was a wildfire, and we were concerned about the safety of our family. booking.com seems to work perfectly well when everything goes smoothly. but when you genuinely need support, the stress, the organisation and the financial burden are apparently left entirely to the customer. a huge disappointment. after this experience, i will seriously think twice before ever using booking.com",Negative,0
"account recovery stephanie, from canva support, was very helpful and prompt with helping me to recover my account. i m very grateful and this makes me want to keep using canva.",Positive,2
"good app that it is a free app, is great!! for me, the app is very difficult to use. i am very confused with what i want to do...while i try to figure out how to use it, it is very useful for people who know what is needed and not so confused.",Positive,2
"booking.com should be booking.con two hotels on two consecutive nights booked through booking.com. first night the hotel is closed down. second night the hotel is overbooked. phoned, messaged and emailed booking.com with no response, quick enough to take and keep my money though.",Negative,0
"creative creative, tools are easy to use, once you understand th epurpose",Positive,2
the worst customer service and driver the worst customer service and driver delivery service i have ever experience since delivery began. i order and got the wrong order and my whole food experience was ruined. they only gave me one third of the total cost back. the bag was soiled with wet greasy spots. i was terrified doordash consistently does this to me. i have had an account for a year and this day i decided to terminate. do not do business with doordash. they personally are all low on the scale.,Negative,0
the driver was very friendly and the driver was very friendly and courteous. the car was very clean. i enjoyed the ride.,Positive,2
expect disappointment refund is less than promised. customer service is a chat-bot that pretends to be human - even lying about it. expect to receive the worst quality of items - and then expect to still be disappointed when they arrive. packaging is very poor.,Negative,0
"their service sucks their service sucks, they think that by instantly issuing a code for a re-print solves the problem",Negative,0
"1 star is too much 1 star is too much 15 years ago, 5 years ago 5 days ago it doesnt matter. booking.com makes sure that you have an hell for an holiday!",Negative,0
"terrible customer service and missing refund i placed an order for about 50 from little caesars. my delivery address was correct, but the driver decided to leave my order at a completely different house about 20 minutes away. i contacted doordash immediately, and they told me they would only refund 13.85 instead of the full order. the app says the refund was issued, but more than a month later i still have not received it. my case was closed without resolving the issue. this was a very frustrating experience, and i expected much better customer service. i will not be using doordash again",Negative,0
promoted a rental car company that had promoted a rental car company that had a two hour wait vs all the other companies that were empty. guessing most people took the sponsored bait.,Negative,0
"to be honest to be honest, i am dissatisfied. i had a 50 discount on trips and they deducted the amount from me for both the full and discounted fares. i understand that sometimes they can block the amount, but for all trips? before the trip started, they deducted the amount they showed me, at the end, the same amount, and also the next day for the same trip i have to write to support one by one to get a refund. this ai assistant is even worse. i also did not have the right to pay in cash.",Negative,0
"had a fairly smooth experienceokay experience with had a fairly smooth experience with netflix this time around. communication was clear and i always knew where my order stood. that said, the delivery was noticeably late and i had to chase it up. decent, but there's room to improve.",Neutral,1
"awful awful. says free trial for a month to find they want to take 1.01 from your account so if youre on you bum with mobey, you cannot start the free trial. if you dont pay premium, you can only skip a certain amount of songs and replay a certain amount as well. down loaded play list also gets deleted if you dobt comply. go to youtube. if its on spotify its on youtube and its worth paying for no ads because theres literally everything on there so you wont be paying multiple services trying to find that 1 thing youtube all the way.",Negative,0
the excellent products and pricing the excellent products and pricing. but now my account has been suspended for disputes all disputes have been resolved or terminated by my bank. please reinstate my account.,Positive,2
it is very innovative and i enjoy doing it is very innovative and i enjoy doing work here.,Positive,2
"spotify is honestly the best app on any of my devices, the personalized sets of playlists each day. i hear something new i love every week, especially new music friday and release radar. i wish i alwa... see more",Positive,2
"after writing a review about sending after writing a review about sending two builders bags instead of dust sheets, they gave me my money back. i tried ordering items only to find that when they took the money off i still had spend 15 extra to get free delivery what a rip off never use this rubbish again",Negative,0
"bad user experience - forced shuffle on mobile free tier on the free plan i was not able to completely disable the shuffle feature when playing albums on the mobile app. once i selected the first track i wanted to play, the following tracks were always be shuffled out of order. i did some research and found out this was an intended feature to try to get you to subscribe to their premium plan. i am highly disappointed in this service and will not give my money to a company that blatantly makes user experience bad to make a profit. i will be cancelling my spotify account all together and using other providers like pandora.",Negative,0
i have been ripped off by taxi drivers i have been ripped off by taxi drivers in every country i have visited. they take advantage of newcomers who do not know the rates. i appreciate uber because i do not have to worry about this happening anymore.,Positive,2
horrible company will never use them horrible company will never use them again. they charged me for two rooms on the same days. sent them a cancellation for one of the rooms since i extended my stay and they won t accept it unless the hotels sends it. crooks,Negative,0
netflix in england netflix in england you have got too big 4 ypur own good... and u have messed up... 1 of my all time favourite shows... the witcher with 1 of the best actor... i have ever known in my lifetime... henry cavil and replacing him with... an actor liam hemsworth... he destroyed season 4....and it was aweful... yet again another american company... getting 2 big and powerful... 4 there own good... and if it was not 4 my autistic son... watching netflix... i would not waste my money on them... when will they get it... get it... the customer knows better... than them... especially that ceo of netflix... there's something not right with these actors.... liam hemsworth and clint eastwoods son... they cannot act 4 mustard... think about why do not they.. those actors ever get good roles... in films or serieses... it is because they r no good... they r terrible actors...,Negative,0
keeps going up and up went from 6 keeps going up and up went from 6 month to 27.99 with the same old movies!! stopping netflix right away,Negative,0
"company has no integrity company has no integrity, willingness or ability to help. sadly we did two car bookings of which neither work out. we tried to change the driver and they said only way to do it is to cancel whole booking with partial refund and rebook. they took so much of our money and didnt help with anything if there is no relationship with the rental company they should not do business together. this should be a very small change. i feel robbed of 500. such a small change should not cost so much money we will never use them again",Negative,0
scam i had booking with booking .com and room was not up to standard then because i did buy insurance with booking .com i try to contact them they ware making excuses for refund my money kept me on hold for 3 hours then hang up tried many times but couldn t get any response from them avoid avoid avoid avoid i would like to give -0 star but had to give one avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid avoid,Negative,0
"woke pandering, adverts, constantly interrupted by prompt woke pandering, a few years ago so many good shows got cancelled because i guess they werent making the mega millions their executives wanted - though iirc they were still profitable. now like amazon and the rest they just set fire to money making shows loaded with left wing ideological lunacy but apparently that's fine because it supports the message. it staggers me how insane the world has become. they brought in ads to increase their revenue and most annoying of all, i cant just leave a show to play in the background without the stupid app asking if i am still watching every couple of episodes. drives me up the wall.",Negative,0
"this review is just for my last this review is just for my last experience. generally i would give them a 3, but if i could give this one a 0 i would. i ordered from 7 11 instead of the grocery store i usually use, just so i would get my items sooner. it was more expensive to do it that way, but it also helped me get the items sooner. the original time was just over 15 minutes. i kept looking at the screen for my order, which shows where the driver is. it showed him at a stop for about 15 minutes and it was not even close to my apartment. also, i had messaged the driver to make sure he saw the instructions on my profile on how to get into my building. there are two entrances, but i can only buzz a visitor in from one. he did not answer my messages. an hour later, he messaged me to come down. he was finally here, but he was at the wrong door so he could not get in. i told him i have bad knees and he needed to come up. i always tip well over 20 because of this. after a very long time i get a phone call from him and he tells me he cannot get in. i tell him he needs to go to the other entrance, which is clearly stated on my profile. he finally does and i buzz him in. i open my door and he tells me door dash sent him on another stop, so that's why it took so long. and now his phone is dead so he cannot verify me, which he needs to do because my order contains alcohol. so he has to go to his car and charge his phone enough to verify my age before i get my items. this was the fault of both door dash and a terrible dasher who would not communicate. i will not be using them again, ever.",Negative,0
"the playlists are terrible the playlists are horrendous, why would anyone pay for the subscription? i ve just wasted 5 x minutes browsing for high intensity workout, intense spin class etc. all of the results are so slow tempo, i could sleep to playlists returned. for the record i am 46 years old, so more wrinkly rocker than head banger!",Negative,0
"we had a reserved uber xl for 7am do we we had a reserved uber xl for 7am do we could get to the boston airport. we could see our uber across the street sitting at the red light at 7am. he needed to make a u-turn at that light which is quite long. he arrived at 7 04. however , as he was pulling in the omni lobby lot, he was cancelled and replaced by someone else by the uber company. because he was late he was cancelled. however the person they picked to replace him was 8 minutes away!!! we had a 7am reservation. our uber 1 arrived at 7 04 but could not pick us up. uber 2 arrived 15 minutes after 7. this is not acceptable. an uber that is 4 minutes late is far more acceptable than one that is 15 minutes late!",Negative,0
easy to transfer money and convert easy to transfer money and convert currency. low fees. transfer to recipient bank very quick. very clear website.,Positive,2
"an easy place to start, learn, and produce. i being amateur at graphic art. canva walked me step by step with no unwanted financial pressure following the style of work i chose. i am very thankful for canva.com for being there when i needed them the most!",Positive,2
it is indeed wise it is indeed wise. it has very good rates for international transfers. i would probably not use anything other than wise.,Positive,2
"booked what was called cosy 3 bedroom booked what was called cosy 3 bedroom propert in backworth, newcastle cost 198. looked good on booking.com but when arrived it literally looked like someone had been evicted that day. bins over flowing and unable to shut in front garden. old discarded clothing in front, dirty, stained carpets and settee not fit to sit on. items that were shown as hung on walls were just stood on the floor. inside bins not emptied, found empty cans and uneaten food in bag in drawers where clothes should be stored. could not stay and so had to book emergency hotel accommodation at a cost of 250. complained to booking.com and sent multiple videos. despite that, they refused to refund and when i looked at the reviews for that property on their site, many other people had said the same. booking.com clearly know this property is unacceptable as they have now removed it from their platform and simply credited my booking.com account by 16. utterly disgusted by booking.com. if your holiday goes well and you have no issues then you are fine. if you have any issues like i did, tough luck you are on your own. would never recommend or use booking.com again.",Negative,0
